Focal length (mm),Focal length (m),Aperture (mm),Aperture (m),Mass (g),Mass (kg),Name
3.5,0.0035,1.75,0.00175,110,0.11,edmund c series
4.5,0.0045,2.25,0.00225,69,0.069,edmund c series
6,0.006,4.28571428571429,0.004285714285714,102,0.102,edmund c series
8.5,0.0085,6.53846153846154,0.006538461538462,80,0.08,edmund c series
12,0.012,6.66666666666667,0.006666666666667,54,0.054,edmund c series
16,0.016,10,0.01,74,0.074,edmund c series
25,0.025,17.8571428571429,0.017857142857143,49,0.049,edmund c series
35,0.035,21.2121212121212,0.021212121212121,72,0.072,edmund c series
50,0.05,25,0.025,107,0.107,edmund c series
100,0.1,35.7142857142857,0.035714285714286,257,0.257,edmund c series
210,0.21,46.6666666666667,0.046666666666667,345,0.345,Sony E 55-210
1200,1.2,214.285714285714,0.214285714285714,16500,16.5,Canon 1200mm f/5.6
800,0.8,142.857142857143,0.142857142857143,5000,5,Sigma 300-800mm f/5.6 (aka Sigmonster)
500,0.5,178.571428571429,0.178571428571429,15876,15.876,Sigma 200-500mm f/2.8
5200,5.2,371.428571428571,0.371428571428571,99800,99.8,Canon 5200mm f/14 Mirror
1700,1.7,425,0.425,256000,256,Zeiss Apo Sonnar
300,0.3,75,0.075,1070,1.07,Pentax DA*
